                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.1859,                0.60911,                 1.0023,                0.76432,                0.67208,                0.71864,                0.38684,                 1.4287,                0.78504,                 1.1425,                0.00417,                0.00417,                0.00417
                    108,                 1.1731,                0.59454,                 0.9913,                0.77856,                0.67032,                0.72033,                0.38514,                  1.437,                0.78629,                 1.1474,               0.004115,               0.004115,               0.004115
                    109,                 1.1639,                0.60078,                0.98972,                0.77264,                0.67268,                0.71702,                0.38473,                 1.4279,                0.78643,                 1.1434,                0.00406,                0.00406,                0.00406
                    110,                 1.1736,                0.59946,                0.99105,                 0.7657,                0.67473,                0.71796,                0.38377,                 1.4289,                0.78405,                 1.1438,               0.004005,               0.004005,               0.004005
                    111,                 1.1642,                0.59115,                0.98955,                0.76859,                0.67284,                0.71822,                0.38452,                 1.4325,                0.78671,                 1.1478,                0.00395,                0.00395,                0.00395
                    112,                 1.1591,                0.59636,                0.99457,                0.76573,                0.67302,                0.71477,                0.38458,                 1.4275,                0.78265,                 1.1475,               0.003895,               0.003895,               0.003895
                    113,                 1.1574,                0.59014,                  0.988,                0.76452,                 0.6691,                0.71422,                0.38331,                 1.4277,                0.78188,                 1.1496,                0.00384,                0.00384,                0.00384
                    114,                 1.1553,                0.58817,                 0.9868,                0.77291,                 0.6613,                0.71397,                0.38312,                 1.4324,                0.78655,                   1.15,               0.003785,               0.003785,               0.003785
                    115,                 1.1578,                0.59116,                0.98428,                0.76623,                0.66837,                0.71368,                0.38503,                 1.4293,                0.78136,                 1.1489,                0.00373,                0.00373,                0.00373
                    116,                 1.1494,                0.58807,                0.98802,                0.76367,                0.67076,                0.71382,                0.38482,                 1.4338,                0.78142,                 1.1515,               0.003675,               0.003675,               0.003675
                    117,                 1.1479,                0.58232,                0.98297,                0.75257,                0.67838,                0.71448,                0.38295,                 1.4364,                0.78407,                 1.1513,                0.00362,                0.00362,                0.00362
                    118,                 1.1486,                0.58695,                0.98539,                 0.7526,                0.67982,                0.71517,                0.38389,                 1.4349,                0.78276,                 1.1513,               0.003565,               0.003565,               0.003565
                    119,                 1.1433,                0.58304,                0.98446,                0.74841,                 0.6807,                0.71546,                0.38223,                 1.4406,                0.78308,                 1.1559,                0.00351,                0.00351,                0.00351
